,ad_c_direct_mail_id,ad_c_direct_mail_initiative_id,ad_c_direct_mail_mail_type,ad_c_direct_mail_carrier,ad_c_direct_mail_tracking_id,ad_c_direct_mail_sent_date,ad_c_direct_mail_delivered_date,ad_c_direct_mail_response,ad_c_direct_mail_updated_by,ad_c_direct_mail_updated_time,ad_c_direct_mail_created_by,ad_c_direct_mail_created_time
0,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
1,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
2,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
3,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
4,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
5,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
6,ACEI50c2e82ddd502,IN50c2e82ddd502,letter,Amazon,tid_50c2e82ddd502,2021-09-21,2022-02-18,1,User,2022-02-20,User,2021-02-22
7,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
8,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
9,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
10,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
11,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
12,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
13,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
14,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
15,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
16,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
17,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
18,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
19,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
20,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
21,ACEI50c2e82ddd503,IN50c2e82ddd503,letter,Amazon,tid_50c2e82ddd503,2020-12-09,2022-04-29,0,User,2022-05-05,User,2020-08-17
22,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
23,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
24,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
25,ACEI50c2e82ddd500,IN50c2e82ddd500,package,Amazon,tid_50c2e82ddd500,2022-12-05,2021-11-23,0,User,2021-11-24,User,2022-05-21
26,ACEI50c2e82ddd501,IN50c2e82ddd501,letter,DHL,tid_50c2e82ddd501,2020-11-18,2021-01-03,1,User,2021-01-05,User,2022-01-20
