,claim_id,claim_status,claim_open_date,claim_close_date,claim_reason,claim_amount,policy_number,beneficiary_id,date_of_loss,amount_claimed,amount_paid
1,C50c2e82ddd501,0.0,2012-06-20,2012-07-02,4.0,2302.0,Paf64cf5b1,1.0,2019-05-02,40449.0,32379.0
2,C50c2e82ddd502,1.0,2014-10-08,2014-12-28,1.0,2099.0,Paf64cf5d2,2.0,2021-11-27,12772.0,6797.0
5,C50c2e82ddd505,1.0,2017-08-29,2017-09-15,1.0,4925.0,Paf64f6725,5.0,2019-10-23,27491.0,3034.0
6,C50c2e82ddd506,0.0,2021-11-27,2022-04-03,2.0,3764.0,Paf64f6746,6.0,2022-05-01,29742.0,13348.0
8,C50c2e82ddd508,0.0,2014-07-06,2014-07-09,2.0,3168.0,Paf64f6778,8.0,2022-07-26,46852.0,23654.0
11,C50c2e82ddd5011,0.0,2019-01-18,2019-02-14,0.0,2811.0,Paf651d8111,11.0,2018-01-25,5543.0,4207.0
12,C50c2e82ddd5012,1.0,2017-08-24,2017-09-20,3.0,3108.0,Paf651d8312,12.0,2022-08-24,4875.0,4315.0
16,C50c2e82ddd5016,1.0,2016-11-01,2016-11-06,3.0,1499.0,Paf651d8816,16.0,2021-08-17,19122.0,4874.0
18,C50c2e82ddd5018,0.0,2017-12-15,2018-01-13,0.0,4108.0,Paf65449218,18.0,2018-06-05,31372.0,16786.0
22,C50c2e82ddd5022,0.0,2008-06-27,2008-06-29,4.0,3199.0,Paf65449722,22.0,2012-03-26,32695.0,2747.0
23,C50c2e82ddd5023,1.0,2022-06-03,2022-06-04,0.0,758.0,Paf65449923,23.0,2022-09-17,35735.0,1007.0
28,C50c2e82ddd5028,0.0,2021-06-10,2021-06-15,4.0,4812.0,Paf656ba728,28.0,2022-01-28,10796.0,3372.0
30,C50c2e82ddd5030,0.0,2018-03-15,2018-08-31,3.0,1440.0,Paf656baa30,30.0,2019-01-09,4897.0,4608.0
34,C50c2e82ddd5034,1.0,2017-01-07,2017-03-17,4.0,1946.0,Paf6592b734,34.0,2017-03-14,21018.0,17249.0
37,C50c2e82ddd5037,1.0,2020-10-30,2021-03-19,5.0,2587.0,Paf6592bb37,37.0,2021-10-22,3773.0,3391.0
38,C50c2e82ddd5038,1.0,2005-01-11,2005-01-15,2.0,2660.0,Paf6592bd38,38.0,2018-06-25,18173.0,5435.0
39,C50c2e82ddd5039,0.0,2020-03-07,2020-03-18,2.0,1163.0,Paf65b9c839,39.0,2022-11-18,15891.0,14840.0
40,C50c2e82ddd5040,1.0,2007-04-19,2007-05-24,4.0,1260.0,Paf65b9ca40,40.0,2021-11-09,41192.0,38530.0
42,C50c2e82ddd5042,1.0,2022-02-24,2022-03-28,0.0,1468.0,Paf65b9cd42,42.0,2022-09-22,4070.0,691.0
43,C50c2e82ddd5043,1.0,2019-12-18,2020-07-27,4.0,4289.0,Paf65b9cf43,43.0,2022-03-11,25579.0,4847.0
45,C50c2e82ddd5045,0.0,2018-04-14,2018-04-19,4.0,4955.0,Paf65e0da45,45.0,2020-01-26,15998.0,13367.0
46,C50c2e82ddd5046,1.0,2018-10-29,2018-11-24,5.0,1193.0,Paf65e0dc46,46.0,2020-05-03,39025.0,33506.0
49,C50c2e82ddd5049,0.0,2021-12-15,2022-01-05,5.0,4598.0,Paf65e0e049,49.0,2021-06-06,25668.0,13467.0
50,C50c2e82ddd5050,0.0,2015-10-27,2015-12-09,2.0,1802.0,Paf65e0e250,50.0,2020-10-11,42161.0,12089.0
51,C50c2e82ddd5051,0.0,2015-08-22,2015-09-03,1.0,2702.0,Paf65e0e451,51.0,2017-10-05,45282.0,42622.0
52,C50c2e82ddd5052,1.0,2012-05-16,2012-06-12,3.0,564.0,Paf6607ec52,52.0,2014-07-01,20567.0,15830.0
54,C50c2e82ddd5054,0.0,2017-12-24,2018-01-22,2.0,2169.0,Paf6607ef54,54.0,2019-07-16,31866.0,9296.0
56,C50c2e82ddd5056,0.0,2022-05-04,2022-06-29,4.0,4252.0,Paf6607f256,56.0,2022-08-18,22774.0,21604.0
57,C50c2e82ddd5057,1.0,2023-03-24,2023-04-27,2.0,677.0,Paf662eff57,57.0,2022-06-17,28119.0,2031.0
58,C50c2e82ddd5058,0.0,2006-02-03,2006-02-04,0.0,4028.0,Paf662f0158,58.0,2020-03-20,30076.0,14583.0
60,C50c2e82ddd5060,1.0,2010-03-05,2010-03-06,0.0,942.0,Paf662f0460,60.0,2014-12-28,10234.0,9754.0
64,C50c2e82ddd5064,1.0,2012-07-06,2012-09-06,2.0,770.0,Paf66561164,64.0,2022-11-04,42488.0,30705.0
65,C50c2e82ddd5065,1.0,2016-08-05,2016-09-05,5.0,4824.0,Paf66561365,65.0,2020-08-02,42778.0,23788.0
70,C50c2e82ddd5070,1.0,2023-06-16,2023-11-10,2.0,3841.0,Paf66561970,70.0,2022-01-16,23737.0,7075.0
71,C50c2e82ddd5071,1.0,2001-03-24,2001-03-28,3.0,1502.0,Paf667d2371,71.0,2020-05-08,43273.0,12022.0
72,C50c2e82ddd5072,0.0,2009-02-14,2009-03-09,1.0,654.0,Paf667d2572,72.0,2010-01-05,13362.0,10819.0
75,C50c2e82ddd5075,1.0,2013-02-23,2013-06-10,3.0,4711.0,Paf667d2975,75.0,2018-09-25,6135.0,5697.0
78,C50c2e82ddd5078,0.0,2023-02-16,2023-05-09,0.0,4706.0,Paf667d2d78,78.0,2022-10-08,35233.0,11833.0
80,C50c2e82ddd5080,0.0,2019-01-06,2019-01-26,3.0,3267.0,Paf66a43680,80.0,2022-05-17,36013.0,18007.0
81,C50c2e82ddd5081,1.0,2008-09-11,2008-12-15,4.0,1920.0,Paf66a43881,81.0,2019-07-24,7588.0,7266.0
82,C50c2e82ddd5082,0.0,2012-10-25,2012-11-08,3.0,459.0,Paf66a43a82,82.0,2015-11-23,39657.0,39571.0
86,C50c2e82ddd5086,1.0,2022-02-22,2022-06-11,4.0,4775.0,Paf66cb4786,86.0,2021-07-02,44360.0,38996.0
89,C50c2e82ddd5089,0.0,2004-05-17,2005-01-17,5.0,2746.0,Paf66cb4b89,89.0,2010-10-16,13394.0,12508.0
90,C50c2e82ddd5090,0.0,2020-06-26,2020-09-13,4.0,1546.0,Paf66cb4d90,90.0,2021-08-28,20009.0,14130.0
91,C50c2e82ddd5091,0.0,2017-10-28,2018-01-10,0.0,4243.0,Paf66cb4f91,91.0,2021-08-24,49366.0,15746.0
92,C50c2e82ddd5092,0.0,2020-07-29,2020-08-21,3.0,3743.0,Paf66f25992,92.0,2020-11-12,22196.0,10346.0
99,C50c2e82ddd5099,1.0,2021-08-19,2021-08-21,2.0,4083.0,Paf66f26199,99.0,2021-04-18,24179.0,19820.0
101,C50c2e82ddd50101,1.0,2017-04-19,2017-04-20,4.0,1511.0,Paf67196c101,101.0,2019-08-16,49055.0,12921.0
102,C50c2e82ddd50102,0.0,2022-07-31,2023-02-03,2.0,510.0,Paf67196e102,102.0,2022-02-09,10771.0,2777.0
104,C50c2e82ddd50104,1.0,2006-03-31,2006-04-13,3.0,4781.0,Paf671971104,104.0,2014-01-07,16000.0,2025.0
108,C50c2e82ddd50108,1.0,2015-09-02,2015-09-02,4.0,121.0,Paf67407d108,108.0,2017-12-22,1898.0,1387.0
111,C50c2e82ddd50111,1.0,2015-11-14,2016-02-28,4.0,1939.0,Paf674081111,111.0,2015-08-22,3136.0,2491.0
114,C50c2e82ddd50114,1.0,2022-02-24,2022-07-27,5.0,4663.0,Paf674085114,114.0,2021-09-26,8325.0,7065.0
115,C50c2e82ddd50115,0.0,2021-08-05,2021-08-27,2.0,1008.0,Paf674087115,115.0,2021-03-16,10813.0,7194.0
